time_s,tag_id,angle_raw_deg,angle_zeroed_deg
1779320554.589235,12,179.8745,0.3222
1779320554.622352,7,0.6703,90.4977
1779320554.622352,12,179.7351,0.1828
1779320554.654970,7,0.8455,90.6730
1779320554.654970,12,179.4595,-0.0928
1779320554.690509,7,-4.1768,85.6506
1779320554.690509,12,179.6662,0.1140
1779320554.722124,7,-9.4510,80.3765
1779320554.722124,12,179.7067,0.1545
1779320554.754193,12,179.7655,0.2132
1779320554.754193,7,-13.9772,75.8502
1779320554.788784,7,-17.5406,72.2868
1779320554.788784,12,179.8356,0.2833
1779320554.823045,12,179.8320,0.2797
1779320554.856579,7,-22.7470,67.0804
1779320554.856579,12,179.8175,0.2652
1779320554.889912,7,-24.4105,65.4169
1779320554.889912,12,179.7412,0.1889
1779320555.038846,7,-25.7651,64.0623
1779320555.038846,12,179.7458,0.1935
1779320555.088389,7,-28.7960,61.0315
1779320555.088389,12,179.9126,0.3603
1779320555.121640,7,-29.0083,60.8192
1779320555.121640,12,179.7660,0.2137
1779320555.155755,12,179.7484,0.1961
1779320555.189378,12,179.8123,0.2600
1779320555.222957,7,-29.4330,60.3944
1779320555.222957,12,179.8118,0.2596
1779320555.256974,7,-29.5075,60.3200
1779320555.256974,12,179.8439,0.2917
1779320555.288992,12,179.6210,0.0688
1779320555.323588,12,179.6459,0.0936
1779320555.355803,7,-29.5737,60.2538
1779320555.355803,12,179.8644,0.3121
1779320555.388726,12,179.8888,0.3365
1779320555.388726,7,-29.5679,60.2595
1779320555.563557,12,179.8831,0.3308
1779320555.563557,7,-29.5796,60.2479
1779320555.622294,12,153.1020,-26.4502
1779320555.655758,12,149.6173,-29.9350
1779320555.655758,7,-38.8984,50.9290
1779320555.687990,12,144.3383,-35.2139
1779320555.687990,7,-40.3089,49.5186
1779320555.723829,12,140.5044,-39.0479
1779320555.723829,7,-42.7307,47.0968
1779320555.760827,12,137.3387,-42.2136
1779320555.760827,7,-49.4222,40.4053
1779320555.790622,7,-51.5964,38.2310
1779320555.790622,12,135.0460,-44.5062
1779320555.821641,12,133.3005,-46.2518
1779320555.821641,7,-52.5650,37.2625
1779320555.860482,12,132.1626,-47.3896
1779320555.860482,7,-53.8293,35.9981
1779320555.890361,7,-54.8399,34.9875
1779320555.890361,12,130.9077,-48.6446
1779320555.922416,7,-54.9461,34.8813
1779320555.922416,12,130.0009,-49.5513
1779320556.088327,12,129.7073,-49.8450
1779320556.088327,7,-55.2187,34.6088
1779320556.123163,12,128.3014,-51.2509
1779320556.123163,7,-54.9800,34.8474
1779320556.156727,12,128.2887,-51.2635
1779320556.156727,7,-54.9272,34.9003
1779320556.189785,12,128.1669,-51.3854
1779320556.189785,7,-55.0304,34.7971
1779320556.222135,12,128.1909,-51.3614
1779320556.222135,7,-55.1458,34.6816
1779320556.256774,12,128.0958,-51.4565
1779320556.256774,7,-55.1250,34.7024
1779320556.291385,12,128.0006,-51.5517
1779320556.291385,7,-55.0558,34.7716
1779320556.320926,12,127.9778,-51.5745
1779320556.320926,7,-55.1459,34.6815
1779320556.356424,12,127.9835,-51.5688
1779320556.356424,7,-55.1250,34.7024
1779320556.390353,12,127.9622,-51.5900
1779320556.390353,7,-55.1269,34.7006
1779320556.424041,12,127.9308,-51.6214
1779320556.424041,7,-54.9693,34.8582
1779320556.456331,12,127.8575,-51.6947
1779320556.456331,7,-55.0138,34.8136
1779320556.612458,12,127.8752,-51.6770
1779320556.612458,7,-55.0683,34.7592
1779320556.656411,12,161.1973,-18.3550
1779320556.656411,7,-30.3409,59.4866
1779320556.690319,12,166.4498,-13.1024
1779320556.690319,7,-32.1250,57.7025
1779320556.721496,12,168.3321,-11.2202
1779320556.721496,7,-31.2582,58.5692
1779320556.755368,12,171.1571,-8.3952
1779320556.755368,7,-31.3616,58.4658
1779320556.792036,12,172.6696,-6.8827
1779320556.792036,7,-31.9744,57.8531
1779320556.823201,7,-32.1956,57.6319
1779320556.823201,12,174.4325,-5.1198
1779320556.856879,7,-32.2452,57.5823
1779320556.856879,12,175.3301,-4.2221
1779320556.890412,7,-32.4882,57.3393
1779320556.890412,12,175.9561,-3.5962
1779320556.922559,7,-32.6341,57.1933
1779320556.922559,12,176.6509,-2.9014
1779320556.957652,7,-32.7310,57.0964
1779320556.957652,12,177.2413,-2.3109
1779320556.991180,7,-32.8039,57.0235
1779320556.991180,12,177.0330,-2.5193
1779320557.137425,12,177.6110,-1.9412
1779320557.137425,7,-32.9428,56.8847
1779320557.189331,12,178.3968,-1.1555
1779320557.189331,7,-33.0365,56.7910
1779320557.322951,7,-32.9689,56.8585
1779320557.322951,12,178.2466,-1.3056
1779320557.661209,7,-32.9210,56.9065
1779320557.661209,12,178.0549,-1.4974
1779320557.822854,12,133.4475,-46.1048
1779320557.822854,7,-51.9657,37.8617
1779320557.959858,12,129.8304,-49.7218
1779320557.959858,7,-54.3306,35.4969
1779320558.152929,12,128.6203,-50.9320
1779320558.152929,7,-54.2959,35.5315
1779320558.291890,12,128.2203,-51.3320
1779320558.291890,7,-54.6524,35.1750
1779320558.425930,7,-54.7147,35.1128
1779320558.425930,12,128.1320,-51.4203
1779320558.691256,12,166.0487,-13.5036
1779320558.691256,7,-26.7794,63.0480
1779320558.826648,7,-32.3842,57.4432
1779320558.826648,12,174.1372,-5.4151
1779320558.957948,7,-32.6811,57.1464
1779320558.957948,12,176.8357,-2.7166
1779320559.091900,7,-33.2694,56.5581
1779320559.091900,12,177.7803,-1.7719
1779320559.226205,7,-32.8977,56.9298
1779320559.226205,12,178.0443,-1.5079
1779320559.358687,7,-33.1546,56.6729
1779320559.358687,12,178.0149,-1.5374
1779320559.492542,12,178.3591,-1.1932
1779320559.492542,7,-33.2033,56.6242
1779320559.625631,12,153.1520,-26.4003
1779320559.754182,12,137.6539,-41.8984
1779320559.754182,7,-48.4567,41.3708
1779320559.855701,12,132.0535,-47.4988
1779320559.855701,7,-52.9437,36.8837
1779320559.958307,7,-54.0125,35.8149
1779320559.958307,12,129.7639,-49.7884
1779320560.091543,7,-54.2138,35.6137
1779320560.091543,12,128.5577,-50.9945
1779320560.225103,12,128.1985,-51.3537
1779320560.225103,7,-54.3912,35.4362
1779320560.356740,12,128.1033,-51.4490
1779320560.356740,7,-54.6185,35.2089
1779320560.491535,12,128.1003,-51.4519
1779320560.491535,7,-54.6298,35.1977
1779320560.625123,12,152.4471,-27.1052
1779320560.756774,7,-31.4098,58.4177
1779320560.756774,12,170.6198,-8.9325
1779320560.891800,7,-32.7173,57.1101
1779320560.891800,12,175.8384,-3.7139
1779320561.022895,7,-33.0648,56.7626
1779320561.022895,12,177.4694,-2.0829
1779320561.157960,7,-33.1604,56.6671
1779320561.157960,12,177.9778,-1.5745
1779320561.293349,7,-33.1062,56.7212
1779320561.293349,12,178.0830,-1.4693
1779320561.425568,7,-33.1375,56.6899
1779320561.425568,12,178.1449,-1.4074
1779320561.691935,12,144.8654,-34.6869
1779320561.691935,7,-43.3634,46.4640
1779320561.825251,7,-51.5282,38.2992
1779320561.825251,12,133.3789,-46.1733
1779320561.957620,12,129.8104,-49.7418
1779320561.957620,7,-53.7661,36.0613
1779320562.076976,12,128.6339,-50.9183
1779320562.076976,7,-54.1018,35.7257
1779320562.208041,12,128.1711,-51.3812
1779320562.208041,7,-54.3659,35.4616
1779320562.341137,12,128.1238,-51.4285
1779320562.341137,7,-54.5504,35.2771
1779320562.475320,12,128.0539,-51.4984
1779320562.475320,7,-54.5498,35.2776
1779320562.601483,12,161.0420,-18.5102
1779320562.601483,7,-29.7772,60.0503
1779320562.733496,7,-31.8408,57.9867
1779320562.733496,12,172.9063,-6.6460
1779320562.836164,7,-32.7097,57.1178
1779320562.836164,12,175.7205,-3.8318
1779320562.970606,7,-32.9967,56.8307
1779320562.970606,12,177.4209,-2.1314
1779320563.102726,7,-33.2679,56.5596
1779320563.102726,12,177.8065,-1.7458
1779320563.234289,7,-33.1535,56.6740
1779320563.234289,12,177.9319,-1.6204
1779320563.365045,7,-33.2102,56.6173
1779320563.365045,12,178.0100,-1.5423
1779320563.633471,12,145.0506,-34.5017
1779320563.769052,12,133.4265,-46.1257
1779320563.769052,7,-51.7489,38.0786
1779320563.901648,12,129.8917,-49.6606
1779320563.901648,7,-53.5932,36.2343
1779320564.034589,12,128.5268,-51.0255
1779320564.034589,7,-54.0745,35.7529
1779320564.168367,12,128.1228,-51.4295
1779320564.168367,7,-54.2873,35.5402
1779320564.300672,12,128.0651,-51.4872
1779320564.300672,7,-54.5271,35.3004
1779320564.433969,12,127.9894,-51.5628
1779320564.433969,7,-54.5140,35.3134
1779320564.569984,12,152.5156,-27.0367
1779320564.702293,12,171.1982,-8.3541
1779320564.702293,7,-31.6850,58.1424
1779320564.829404,7,-32.7101,57.1173
1779320564.829404,12,175.6937,-3.8586
1779320564.955679,7,-33.3099,56.5176
1779320564.955679,12,177.3836,-2.1686
1779320565.072332,12,177.6565,-1.8957
1779320565.072332,7,-33.5030,56.3244
1779320565.202184,7,-33.3363,56.4912
1779320565.202184,12,177.8907,-1.6616
1779320565.331850,12,177.9476,-1.6047
1779320565.331850,7,-33.3671,56.4603
1779320565.469715,12,177.9955,-1.5567
1779320565.601858,12,149.7180,-29.8343
1779320565.601858,7,-41.2723,48.5552
1779320565.735393,12,135.1682,-44.3841
1779320565.735393,7,-50.0818,39.7457
1779320565.869154,12,130.4649,-49.0873
1779320565.869154,7,-53.5599,36.2676
1779320566.001385,12,128.6069,-50.9453
1779320566.001385,7,-53.8412,35.9862
1779320566.135114,7,-54.3666,35.4609
1779320566.135114,12,128.0966,-51.4557
1779320566.268422,12,127.9881,-51.5642
1779320566.268422,7,-54.5606,35.2668
1779320566.401238,12,127.9679,-51.5843
1779320566.401238,7,-54.5410,35.2865
1779320566.535831,12,149.7210,-29.8313
1779320566.670080,12,168.2835,-11.2688
1779320566.670080,7,-31.4302,58.3973
1779320566.802415,7,-32.7137,57.1138
1779320566.802415,12,174.8167,-4.7356
1779320566.935688,7,-33.2685,56.5589
1779320566.935688,12,177.0203,-2.5320
1779320567.070282,12,177.6440,-1.9082
1779320567.202793,7,-33.3736,56.4538
1779320567.202793,12,178.0134,-1.5388
1779320567.339200,12,177.8323,-1.7200
1779320567.465605,7,-33.6853,56.1422
1779320567.465605,12,177.9846,-1.5676
1779320567.569665,12,153.3180,-26.2343
1779320567.704223,12,137.3702,-42.1821
1779320567.704223,7,-48.2950,41.5325
1779320567.836430,12,131.2491,-48.3032
1779320567.836430,7,-53.1037,36.7238
1779320567.969075,7,-53.5471,36.2803
1779320567.969075,12,129.0379,-50.5143
1779320568.103222,12,128.4519,-51.1004
1779320568.103222,7,-54.2953,35.5322
1779320568.235027,12,128.0851,-51.4672
1779320568.235027,7,-54.2346,35.5928
1779320568.370307,12,128.1340,-51.4183
1779320568.370307,7,-54.4740,35.3535
1779320568.636102,12,166.6096,-12.9427
1779320568.636102,7,-27.3306,62.4968
1779320568.769505,7,-32.4594,57.3680
1779320568.769505,12,174.0955,-5.4568
1779320568.902811,7,-33.1457,56.6817
1779320568.902811,12,176.7341,-2.8182
1779320569.035966,12,177.4649,-2.0874
1779320569.035966,7,-33.4126,56.4149
1779320569.169123,7,-33.4463,56.3811
1779320569.169123,12,177.7166,-1.8357
1779320569.303607,7,-33.4585,56.3690
1779320569.303607,12,177.8589,-1.6934
1779320569.464611,7,-33.4516,56.3759
1779320569.464611,12,177.8169,-1.7354
1779320569.602204,12,149.1179,-30.4344
1779320569.602204,7,-41.8202,48.0073
1779320569.740318,12,135.0633,-44.4890
1779320569.740318,7,-50.3231,39.5044
1779320569.869239,7,-53.3695,36.4580
1779320569.869239,12,130.2516,-49.3007
1779320570.001458,7,-53.8430,35.9844
1779320570.001458,12,128.5040,-51.0482
1779320570.135315,7,-54.2642,35.5633
1779320570.135315,12,128.2013,-51.3510
1779320570.264652,7,-54.3652,35.4622
1779320570.264652,12,127.9065,-51.6458
1779320570.400646,12,127.9303,-51.6219
1779320570.400646,7,-54.4014,35.4261
1779320570.535818,12,149.9817,-29.5706
1779320570.669560,12,168.4309,-11.1214
1779320570.669560,7,-31.3131,58.5144
1779320570.802431,7,-32.6792,57.1482
1779320570.802431,12,174.8560,-4.6963
1779320570.934897,7,-33.3653,56.4622
1779320570.934897,12,176.8469,-2.7054
1779320571.063412,7,-33.6799,56.1475
1779320571.063412,12,177.5525,-1.9998
1779320571.202013,7,-33.4648,56.3627
1779320571.202013,12,177.8184,-1.7339
1779320571.337967,7,-33.5708,56.2567
1779320571.337967,12,177.8275,-1.7247
1779320571.468015,7,-33.5991,56.2283
1779320571.468015,12,177.8182,-1.7341
1779320571.603332,12,149.2922,-30.2601
1779320571.603332,7,-40.9717,48.8557
1779320571.735779,12,135.1116,-44.4407
1779320571.735779,7,-49.9760,39.8514
1779320571.866633,12,130.4493,-49.1030
1779320571.866633,7,-53.3504,36.4770
1779320572.001634,7,-53.7811,36.0464
1779320572.001634,12,128.5803,-50.9720
1779320572.135218,12,128.2296,-51.3227
1779320572.135218,7,-54.4205,35.4069
1779320572.263900,7,-54.3903,35.4371
1779320572.263900,12,127.9944,-51.5579
1779320572.402093,12,127.8553,-51.6969
1779320572.402093,7,-54.4920,35.3354
1779320572.537870,12,150.2571,-29.2952
1779320572.669338,12,168.2524,-11.2999
1779320572.669338,7,-31.1939,58.6336
1779320572.802728,12,174.9226,-4.6297
1779320572.802728,7,-32.5788,57.2487
1779320572.937930,12,177.2787,-2.2736
1779320572.937930,7,-33.0008,56.8266
1779320573.069811,7,-33.4356,56.3919
1779320573.069811,12,177.6528,-1.8995
1779320573.202736,7,-33.2736,56.5539
1779320573.202736,12,177.8667,-1.6855
1779320573.336015,7,-33.2997,56.5278
1779320573.336015,12,177.8985,-1.6537
1779320573.465418,12,177.9668,-1.5855
1779320573.570264,12,150.9940,-28.5583
1779320573.701036,12,137.3030,-42.2493
1779320573.701036,7,-48.6317,41.1958
1779320573.836156,7,-52.9029,36.9245
1779320573.836156,12,131.0734,-48.4788
1779320573.965893,7,-53.5230,36.3045
1779320573.965893,12,129.0459,-50.5064
1779320574.099350,12,128.3534,-51.1988
1779320574.099350,7,-54.0964,35.7310
1779320574.235185,7,-54.1365,35.6909
1779320574.235185,12,128.0782,-51.4741
1779320574.371877,7,-54.3310,35.4964
1779320574.371877,12,128.0536,-51.4987
1779320574.636875,12,166.6055,-12.9468
1779320574.636875,7,-26.2560,63.5715
1779320574.769103,7,-32.1357,57.6918
1779320574.769103,12,174.1919,-5.3604
1779320574.903142,7,-33.1062,56.7212
1779320574.903142,12,176.8403,-2.7120
1779320575.034125,7,-33.3709,56.4565
1779320575.034125,12,177.1950,-2.3573
1779320575.166846,7,-33.4755,56.3519
1779320575.166846,12,177.8723,-1.6800
1779320575.273091,7,-33.3453,56.4822
1779320575.273091,12,177.9495,-1.6028
1779320575.402807,12,177.9433,-1.6090
1779320575.402807,7,-33.3465,56.4809
1779320575.536556,12,159.7289,-19.8233
1779320575.669943,12,140.3874,-39.1648
1779320575.669943,7,-45.9080,43.9194
1779320575.802563,12,132.0618,-47.4905
1779320575.802563,7,-52.4005,37.4270
1779320575.932325,7,-53.1861,36.6414
1779320575.932325,12,129.2277,-50.3246
1779320576.063920,12,128.5548,-50.9974
1779320576.063920,7,-53.9962,35.8312
1779320576.195807,12,128.1027,-51.4496
1779320576.195807,7,-54.2258,35.6017
1779320576.334394,7,-54.2495,35.5780
1779320576.334394,12,128.0642,-51.4881
1779320576.470067,7,-54.2339,35.5935
1779320576.470067,12,128.0438,-51.5085
1779320576.602003,12,161.3125,-18.2398
1779320576.602003,7,-29.7403,60.0872
1779320576.734376,7,-31.9211,57.9063
1779320576.734376,12,172.8362,-6.7160
1779320576.868940,12,176.5292,-3.0231
1779320577.001132,12,177.3473,-2.2050
1779320577.134711,7,-33.3334,56.4940
1779320577.134711,12,177.9000,-1.6523
1779320577.267767,7,-33.3167,56.5108
1779320577.267767,12,177.9446,-1.6077
1779320577.401641,7,-33.3239,56.5035
1779320577.401641,12,177.9651,-1.5872
1779320577.535616,12,160.1921,-19.3602
1779320577.666164,12,140.4813,-39.0710
1779320577.666164,7,-46.0974,43.7301
1779320577.801754,12,132.0682,-47.4841
1779320577.801754,7,-52.5602,37.2673
1779320577.934643,12,129.3681,-50.1841
1779320577.934643,7,-53.1812,36.6463
1779320578.069420,7,-53.8475,35.9799
1779320578.069420,12,128.5282,-51.0241
1779320578.200477,12,128.3464,-51.2059
1779320578.200477,7,-54.2042,35.6233
1779320578.334265,7,-54.0883,35.7392
1779320578.334265,12,128.1452,-51.4071
1779320578.467489,7,-54.1051,35.7224
1779320578.467489,12,128.1752,-51.3770
1779320578.601648,12,162.0558,-17.4965
1779320578.601648,7,-29.8505,59.9770
1779320578.733412,7,-31.9628,57.8646
1779320578.733412,12,172.6729,-6.8794
1779320578.867727,7,-32.6138,57.2137
1779320578.867727,12,176.4927,-3.0595
1779320579.001355,12,177.4702,-2.0821
1779320579.001355,7,-33.2567,56.5707
1779320579.137703,12,177.9248,-1.6274
1779320579.137703,7,-33.2929,56.5345
1779320579.265445,7,-33.2638,56.5636
1779320579.265445,12,177.8776,-1.6746
1779320579.401838,7,-33.2703,56.5572
1779320579.401838,12,177.9736,-1.5786
1779320579.537523,12,160.9896,-18.5627
1779320579.669434,12,140.5245,-39.0278
1779320579.669434,7,-45.3226,44.5048
1779320579.801929,7,-52.3613,37.4661
1779320579.801929,12,132.1038,-47.4485
1779320579.933113,7,-53.1543,36.6732
1779320579.933113,12,129.4184,-50.1338
1779320580.070106,12,128.5886,-50.9637
1779320580.070106,7,-53.9185,35.9090
1779320580.201539,12,128.2745,-51.2778
1779320580.201539,7,-54.1092,35.7183
1779320580.337119,12,128.1964,-51.3559
1779320580.337119,7,-54.2122,35.6153
1779320580.469117,12,128.2265,-51.3257
1779320580.469117,7,-54.2015,35.6259
1779320580.730021,12,149.9814,-29.5709
1779320580.730021,7,-27.8783,61.9492
1779320580.855923,7,-32.4886,57.3388
1779320580.855923,12,175.1772,-4.3751
1779320580.955160,7,-32.9456,56.8819
1779320580.955160,12,176.6056,-2.9467
1779320581.058006,7,-33.2511,56.5763
1779320581.058006,12,177.2366,-2.3157
1779320581.220710,7,-33.3832,56.4443
1779320581.220710,12,177.7325,-1.8198
1779320581.358219,7,-33.1323,56.6951
1779320581.358219,12,177.7889,-1.7634
1779320581.491458,7,-33.2290,56.5984
1779320581.491458,12,177.9462,-1.6061
1779320581.625377,12,153.3672,-26.1851
1779320581.758610,12,137.3281,-42.2242
1779320581.758610,7,-48.4621,41.3653
1779320581.892741,7,-52.7706,37.0569
1779320581.892741,12,131.2302,-48.3221
1779320582.025171,12,128.9805,-50.5718
1779320582.025171,7,-53.3132,36.5142
1779320582.156737,12,128.4602,-51.0921
1779320582.156737,7,-53.8290,35.9985
1779320582.291060,12,128.2396,-51.3127
1779320582.291060,7,-54.1531,35.6744
1779320582.425469,7,-54.1523,35.6751
1779320582.425469,12,128.1316,-51.4207
1779320582.675054,7,-27.0396,62.7878
1779320582.675054,12,166.2494,-13.3029
1779320582.809434,7,-32.2164,57.6110
1779320582.809434,12,174.2204,-5.3319
1779320582.940560,7,-32.9306,56.8968
1779320582.940560,12,176.9195,-2.6328
1779320583.073765,7,-33.3886,56.4388
1779320583.073765,12,177.6891,-1.8631
1779320583.206665,12,177.9594,-1.5928
1779320583.206665,7,-33.2763,56.5512
1779320583.341673,7,-33.2837,56.5438
1779320583.341673,12,177.9747,-1.5776
1779320583.475725,7,-33.3159,56.5115
1779320583.475725,12,177.7870,-1.7653
1779320583.609046,12,151.1978,-28.3545
1779320583.742990,7,-48.1159,41.7116
1779320583.742990,12,137.4792,-42.0731
1779320583.873908,7,-52.7313,37.0962
1779320583.873908,12,131.2344,-48.3178
1779320584.006948,7,-53.4056,36.4219
1779320584.006948,12,129.0681,-50.4842
1779320584.141862,12,128.4067,-51.1455
1779320584.141862,7,-53.7390,36.0885
1779320584.275206,12,128.1650,-51.3873
1779320584.275206,7,-54.1566,35.6709
1779320584.408723,12,128.1278,-51.4245
1779320584.408723,7,-54.1782,35.6493
1779320584.675523,12,166.0586,-13.4936
1779320584.675523,7,-26.1241,63.7034
1779320584.808678,7,-32.0914,57.7361
1779320584.808678,12,174.2011,-5.3512
1779320585.041305,7,-33.3150,56.5124
1779320585.041305,12,177.3832,-2.1691
1779320585.175310,7,-33.3845,56.4429
1779320585.175310,12,177.7430,-1.8093
1779320585.308105,7,-33.3170,56.5105
1779320585.308105,12,177.8851,-1.6672
1779320585.440337,12,177.8464,-1.7058
1779320585.570101,12,160.3726,-19.1796
1779320585.701558,12,137.4045,-42.1477
1779320585.701558,7,-48.1217,41.7057
1779320585.835335,7,-52.6810,37.1465
1779320585.835335,12,131.2559,-48.2964
1779320585.974206,12,129.0579,-50.4944
1779320585.974206,7,-53.4302,36.3972
1779320586.015060,7,-53.6748,36.1526
1779320586.015060,12,128.8769,-50.6754
1779320586.069857,12,128.6120,-50.9403
1779320586.069857,7,-53.8613,35.9662
1779320586.111261,12,128.4320,-51.1203
1779320586.111261,7,-53.7784,36.0491
1779320586.173390,12,128.3735,-51.1788
1779320586.173390,7,-53.9513,35.8761
1779320586.236294,12,128.1584,-51.3939
1779320586.236294,7,-54.1561,35.6714
1779320586.268381,7,-54.1615,35.6659
1779320586.268381,12,128.2001,-51.3522
1779320586.302621,12,128.1134,-51.4389
1779320586.302621,7,-54.1844,35.6430
1779320586.367809,7,-54.1006,35.7269
1779320586.367809,12,128.0457,-51.5065
1779320586.404279,12,128.0891,-51.4632
1779320586.404279,7,-54.1349,35.6926
1779320586.435070,12,128.1070,-51.4453
1779320586.435070,7,-54.1468,35.6806
1779320586.465840,12,128.1822,-51.3700
1779320586.465840,7,-54.2325,35.5949
1779320586.536702,12,150.0711,-29.4811
1779320586.536702,7,-28.6105,61.2170
1779320586.569553,12,153.8685,-25.6838
1779320586.599649,12,161.5065,-18.0458
1779320586.599649,7,-30.0114,59.8160
1779320586.637007,12,166.8648,-12.6875
1779320586.637007,7,-26.3562,63.4713
1779320586.671112,12,168.8109,-10.7414
1779320586.671112,7,-30.8420,58.9854
1779320586.701172,12,171.3128,-8.2395
1779320586.701172,7,-31.0728,58.7546
